id,claim_id,book_name,k_found,buckets_covered,unique_chapters,split,run_id
46,46_c01,In search of the castaways,12,2,1,train,run_20260112_111511
46,46_c02,In search of the castaways,12,2,1,train,run_20260112_111511
46,46_c03,In search of the castaways,12,2,1,train,run_20260112_111511
46,46_c04,In search of the castaways,12,2,1,train,run_20260112_111511
46,46_c05,In search of the castaways,12,3,1,train,run_20260112_111511
137,137_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
137,137_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
74,74_c01,In search of the castaways,12,1,1,train,run_20260112_111511
109,109_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
109,109_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
104,104_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
104,104_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
35,35_c01,In search of the castaways,12,3,1,train,run_20260112_111511
35,35_c02,In search of the castaways,12,2,1,train,run_20260112_111511
35,35_c03,In search of the castaways,12,2,1,train,run_20260112_111511
18,18_c01,In search of the castaways,12,2,1,train,run_20260112_111511
18,18_c02,In search of the castaways,12,2,1,train,run_20260112_111511
18,18_c03,In search of the castaways,12,2,1,train,run_20260112_111511
31,31_c01,In search of the castaways,12,3,1,train,run_20260112_111511
31,31_c02,In search of the castaways,12,3,1,train,run_20260112_111511
31,31_c03,In search of the castaways,12,3,1,train,run_20260112_111511
68,68_c01,In search of the castaways,12,2,1,train,run_20260112_111511
68,68_c02,In search of the castaways,12,1,1,train,run_20260112_111511
68,68_c03,In search of the castaways,12,1,1,train,run_20260112_111511
68,68_c04,In search of the castaways,12,1,1,train,run_20260112_111511
9,9_c01,In search of the castaways,12,3,1,train,run_20260112_111511
9,9_c02,In search of the castaways,12,2,1,train,run_20260112_111511
84,84_c01,In search of the castaways,12,1,1,train,run_20260112_111511
84,84_c02,In search of the castaways,12,1,1,train,run_20260112_111511
84,84_c03,In search of the castaways,12,1,1,train,run_20260112_111511
83,83_c01,In search of the castaways,12,2,1,train,run_20260112_111511
83,83_c02,In search of the castaways,12,1,1,train,run_20260112_111511
83,83_c03,In search of the castaways,12,1,1,train,run_20260112_111511
83,83_c04,In search of the castaways,12,1,1,train,run_20260112_111511
134,134_c01,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
134,134_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
88,88_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
88,88_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
67,67_c01,In search of the castaways,12,1,1,train,run_20260112_111511
67,67_c02,In search of the castaways,12,1,1,train,run_20260112_111511
67,67_c03,In search of the castaways,12,2,1,train,run_20260112_111511
67,67_c04,In search of the castaways,12,1,1,train,run_20260112_111511
112,112_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
112,112_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
79,79_c01,In search of the castaways,12,1,1,train,run_20260112_111511
79,79_c02,In search of the castaways,12,3,1,train,run_20260112_111511
55,55_c01,In search of the castaways,12,3,1,train,run_20260112_111511
55,55_c02,In search of the castaways,12,2,1,train,run_20260112_111511
12,12_c01,In search of the castaways,12,3,1,train,run_20260112_111511
12,12_c02,In search of the castaways,12,3,1,train,run_20260112_111511
13,13_c01,In search of the castaways,12,3,1,train,run_20260112_111511
13,13_c02,In search of the castaways,12,2,1,train,run_20260112_111511
102,102_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
102,102_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
92,92_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
92,92_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
92,92_c03,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
1,1_c01,In search of the castaways,12,3,1,train,run_20260112_111511
1,1_c02,In search of the castaways,12,2,1,train,run_20260112_111511
1,1_c03,In search of the castaways,12,2,1,train,run_20260112_111511
11,11_c01,In search of the castaways,12,2,1,train,run_20260112_111511
11,11_c02,In search of the castaways,12,2,1,train,run_20260112_111511
65,65_c01,In search of the castaways,12,2,1,train,run_20260112_111511
65,65_c02,In search of the castaways,12,3,1,train,run_20260112_111511
65,65_c03,In search of the castaways,12,3,1,train,run_20260112_111511
107,107_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
107,107_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
107,107_c03,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
66,66_c01,In search of the castaways,12,3,1,train,run_20260112_111511
66,66_c02,In search of the castaways,12,3,1,train,run_20260112_111511
89,89_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
89,89_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
34,34_c01,In search of the castaways,12,2,1,train,run_20260112_111511
34,34_c02,In search of the castaways,12,3,1,train,run_20260112_111511
99,99_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
99,99_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
123,123_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
116,116_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
43,43_c01,In search of the castaways,12,2,1,train,run_20260112_111511
43,43_c02,In search of the castaways,12,3,1,train,run_20260112_111511
108,108_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
108,108_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
128,128_c01,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
29,29_c01,In search of the castaways,12,3,1,train,run_20260112_111511
69,69_c01,In search of the castaways,12,2,1,train,run_20260112_111511
69,69_c02,In search of the castaways,12,1,1,train,run_20260112_111511
69,69_c03,In search of the castaways,12,1,1,train,run_20260112_111511
69,69_c04,In search of the castaways,12,1,1,train,run_20260112_111511
69,69_c05,In search of the castaways,12,1,1,train,run_20260112_111511
50,50_c01,In search of the castaways,12,3,1,train,run_20260112_111511
50,50_c02,In search of the castaways,12,1,1,train,run_20260112_111511
50,50_c03,In search of the castaways,12,3,1,train,run_20260112_111511
5,5_c01,In search of the castaways,12,3,1,train,run_20260112_111511
5,5_c02,In search of the castaways,12,2,1,train,run_20260112_111511
39,39_c01,In search of the castaways,12,3,1,train,run_20260112_111511
39,39_c02,In search of the castaways,12,3,1,train,run_20260112_111511
39,39_c03,In search of the castaways,12,3,1,train,run_20260112_111511
19,19_c01,In search of the castaways,12,3,1,train,run_20260112_111511
19,19_c02,In search of the castaways,12,2,1,train,run_20260112_111511
113,113_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
113,113_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
139,139_c01,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
139,139_c02,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
71,71_c01,In search of the castaways,12,2,1,train,run_20260112_111511
71,71_c02,In search of the castaways,12,1,1,train,run_20260112_111511
71,71_c03,In search of the castaways,12,2,1,train,run_20260112_111511
71,71_c04,In search of the castaways,12,1,1,train,run_20260112_111511
71,71_c05,In search of the castaways,12,1,1,train,run_20260112_111511
26,26_c01,In search of the castaways,12,3,1,train,run_20260112_111511
26,26_c02,In search of the castaways,12,3,1,train,run_20260112_111511
26,26_c03,In search of the castaways,12,3,1,train,run_20260112_111511
26,26_c04,In search of the castaways,12,2,1,train,run_20260112_111511
117,117_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
117,117_c02,The Count of Monte Cristo,12,1,1,train,run_20260112_111511
6,6_c01,In search of the castaways,12,2,1,train,run_20260112_111511
6,6_c02,In search of the castaways,12,2,1,train,run_20260112_111511
6,6_c03,In search of the castaways,12,2,1,train,run_20260112_111511
6,6_c04,In search of the castaways,12,2,1,train,run_20260112_111511
76,76_c01,In search of the castaways,12,2,1,train,run_20260112_111511
76,76_c02,In search of the castaways,12,1,1,train,run_20260112_111511
17,17_c01,In search of the castaways,12,3,1,train,run_20260112_111511
17,17_c02,In search of the castaways,12,3,1,train,run_20260112_111511
17,17_c03,In search of the castaways,12,2,1,train,run_20260112_111511
17,17_c04,In search of the castaways,12,3,1,train,run_20260112_111511
20,20_c01,In search of the castaways,12,2,1,train,run_20260112_111511
20,20_c02,In search of the castaways,12,3,1,train,run_20260112_111511
10,10_c01,In search of the castaways,12,2,1,train,run_20260112_111511
10,10_c02,In search of the castaways,12,2,1,train,run_20260112_111511
122,122_c01,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
62,62_c01,In search of the castaways,12,3,1,train,run_20260112_111511
62,62_c02,In search of the castaways,12,3,1,train,run_20260112_111511
62,62_c03,In search of the castaways,12,3,1,train,run_20260112_111511
36,36_c01,In search of the castaways,12,3,1,train,run_20260112_111511
73,73_c01,In search of the castaways,12,1,1,train,run_20260112_111511
98,98_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
25,25_c01,In search of the castaways,12,2,1,train,run_20260112_111511
25,25_c02,In search of the castaways,12,2,1,train,run_20260112_111511
120,120_c01,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
120,120_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
105,105_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
57,57_c01,In search of the castaways,12,3,1,train,run_20260112_111511
57,57_c02,In search of the castaways,12,3,1,train,run_20260112_111511
106,106_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
106,106_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
106,106_c03,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
118,118_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
118,118_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
126,126_c01,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
126,126_c02,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
4,4_c01,In search of the castaways,12,3,1,train,run_20260112_111511
4,4_c02,In search of the castaways,12,2,1,train,run_20260112_111511
125,125_c01,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
125,125_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
40,40_c01,In search of the castaways,12,3,1,train,run_20260112_111511
40,40_c02,In search of the castaways,12,3,1,train,run_20260112_111511
96,96_c01,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
96,96_c02,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
45,45_c01,In search of the castaways,12,2,1,train,run_20260112_111511
45,45_c02,In search of the castaways,12,3,1,train,run_20260112_111511
45,45_c03,In search of the castaways,12,3,1,train,run_20260112_111511
54,54_c01,In search of the castaways,12,3,1,train,run_20260112_111511
54,54_c02,In search of the castaways,12,2,1,train,run_20260112_111511
54,54_c03,In search of the castaways,12,3,1,train,run_20260112_111511
8,8_c01,In search of the castaways,12,3,1,train,run_20260112_111511
8,8_c02,In search of the castaways,12,2,1,train,run_20260112_111511
32,32_c01,In search of the castaways,12,3,1,train,run_20260112_111511
32,32_c02,In search of the castaways,12,3,1,train,run_20260112_111511
14,14_c01,In search of the castaways,12,2,1,train,run_20260112_111511
14,14_c02,In search of the castaways,12,3,1,train,run_20260112_111511
14,14_c03,In search of the castaways,12,3,1,train,run_20260112_111511
63,63_c01,In search of the castaways,12,3,1,train,run_20260112_111511
41,41_c01,In search of the castaways,12,3,1,train,run_20260112_111511
41,41_c02,In search of the castaways,12,3,1,train,run_20260112_111511
41,41_c03,In search of the castaways,12,3,1,train,run_20260112_111511
23,23_c01,In search of the castaways,12,2,1,train,run_20260112_111511
23,23_c02,In search of the castaways,12,2,1,train,run_20260112_111511
23,23_c03,In search of the castaways,12,2,1,train,run_20260112_111511
90,90_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
90,90_c02,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
100,100_c01,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
100,100_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
