id,claim_id,book_name,k_found,buckets_covered,unique_chapters,split,backend,K,candidate_pool,max_per_chapter,enforce_buckets,run_id
46,46_c01,In search of the castaways,12,2,9,train,bm25,12,80,12,False,run_20260225_221138
46,46_c02,In search of the castaways,12,2,6,train,bm25,12,80,12,False,run_20260225_221138
46,46_c03,In search of the castaways,12,2,6,train,bm25,12,80,12,False,run_20260225_221138
46,46_c04,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
46,46_c05,In search of the castaways,12,3,11,train,bm25,12,80,12,False,run_20260225_221138
137,137_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
137,137_c02,The Count of Monte Cristo,12,2,1,train,bm25,12,80,12,False,run_20260225_221138
74,74_c01,In search of the castaways,12,1,4,train,bm25,12,80,12,False,run_20260225_221138
109,109_c01,The Count of Monte Cristo,12,2,2,train,bm25,12,80,12,False,run_20260225_221138
109,109_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
104,104_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
104,104_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
35,35_c01,In search of the castaways,12,3,6,train,bm25,12,80,12,False,run_20260225_221138
35,35_c02,In search of the castaways,12,2,7,train,bm25,12,80,12,False,run_20260225_221138
35,35_c03,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
18,18_c01,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
18,18_c02,In search of the castaways,12,3,7,train,bm25,12,80,12,False,run_20260225_221138
18,18_c03,In search of the castaways,12,2,7,train,bm25,12,80,12,False,run_20260225_221138
31,31_c01,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
31,31_c02,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
31,31_c03,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
68,68_c01,In search of the castaways,12,2,5,train,bm25,12,80,12,False,run_20260225_221138
68,68_c02,In search of the castaways,12,1,4,train,bm25,12,80,12,False,run_20260225_221138
68,68_c03,In search of the castaways,12,1,4,train,bm25,12,80,12,False,run_20260225_221138
